,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
닭가슴살,2.4100464300000004,4.330586049,4.330586049,4.330586049,0.554938258,-0.27416273799999996,-0.27416273799999996,-2.6574277740000003,1.425023113,1.425023113,2.978199164,1.1683461839999998,3.528008971,3.528008971,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,1.260244799,6.792447112,-1.6133281839999998,0.550716381,5.038307250000001,0.08630132000000001,1.896646606,1.896646606,1.896646606,3.2994576879999995,3.2994576879999995,3.2994576879999995,3.2994576879999995,0.6795808649999999,0.6795808649999999,0.6795808649999999,0.6795808649999999,1.698332922,3.263776799,3.263776799,-0.658760131,1.719590367,1.9160413980000002,2.024611161,2.024611161,0.9240186100000001,0.9240186100000001,0.9240186100000001,1.532616076,1.532616076,0.323075767,4.690939370999999,2.436082846,0.816310276,2.3116484880000003
연어,6.457822349,20.693628866,20.693628866,20.693628866,2.510564029,-2.371328783,-2.371328783,-9.508660781,-4.013535813,-4.013535813,11.357730068,9.367605352,18.625201923000002,18.625201923000002,2.495581292,3.8250368970000004,3.8250368970000004,3.8250368970000004,17.699867636,17.699867636,17.699867636,17.699867636,17.699867636,17.699867636,1.575522133,31.943858388,-6.341226464999999,4.721521765,22.48406522,3.242292187,4.862985969,4.862985969,4.862985969,14.012756163999999,14.012756163999999,14.012756163999999,14.012756163999999,3.8740857849999997,3.8740857849999997,3.8740857849999997,3.8740857849999997,7.835344317,9.743611806,9.743611806,-0.59801116,6.131101204,10.050976266,3.0730202419999997,3.0730202419999997,6.803692236,6.803692236,6.803692236,10.25766074,10.25766074,0.109715318,21.273012122,6.992482314,1.357161106,3.1486770459999995
달걀,2.4100464300000004,3.9248917910000003,3.9248917910000003,3.9248917910000003,0.554938258,-0.27416273799999996,-0.27416273799999996,-2.6574277740000003,0.8693024,0.8693024,2.978199164,1.1683461839999998,3.528008971,3.528008971,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,1.260244799,6.386752854,-1.6133281839999998,0.550716381,5.038307250000001,0.08630132000000001,1.896646606,1.896646606,1.896646606,3.2994576879999995,3.2994576879999995,3.2994576879999995,3.2994576879999995,0.6795808649999999,0.6795808649999999,0.6795808649999999,0.6795808649999999,1.698332922,3.263776799,3.263776799,-0.642815519,1.719590367,1.9160413980000002,1.468890448,1.468890448,0.9240186100000001,0.9240186100000001,0.9240186100000001,1.532616076,1.532616076,-0.08261849099999996,4.690939370999999,2.436082846,0.816310276,2.3116484880000003
새우,7.401310784,9.62916083,9.62916083,9.62916083,1.396599982,-2.592000343,-2.592000343,-6.359433463999999,1.0946535720000001,1.0946535720000001,7.044126782999999,5.329982543000001,7.265466655999999,7.265466655999999,3.8902304720000003,4.2034745220000005,4.2034745220000005,4.2034745220000005,12.440983194000001,12.440983194000001,12.440983194000001,12.440983194000001,12.440983194000001,12.440983194000001,3.442934032,14.126537720000002,-2.847433988,4.244748246,11.238415658,-1.1039777849999999,6.1189901639999995,6.1189901639999995,6.1189901639999995,8.685860538,8.685860538,8.685860538,8.685860538,3.1036700809999997,3.1036700809999997,3.1036700809999997,3.1036700809999997,6.039808171,4.1135774849999995,4.1135774849999995,-0.619217494,2.20248386,5.2050900460000005,3.008186159,3.008186159,2.812437041,2.812437041,2.812437041,1.68786598,1.68786598,0.657888739,12.924004729999998,3.670189751,1.634084895,4.899606262000001
베이컨,9.993176349,7.384626979,7.384626979,7.384626979,3.2235010190000004,-5.730915457,-5.730915457,-7.103597445999999,1.5021569289999999,1.5021569289999999,5.649603125,9.021486273999999,14.854543292000002,14.854543292000002,1.974314368,3.331668619,3.331668619,3.331668619,24.915070919,24.915070919,24.915070919,24.915070919,24.915070919,24.915070919,1.527017928,19.215515336,-2.214820365,4.423558142,15.040519091000002,0.05780985599999999,8.948494360000002,8.948494360000002,8.948494360000002,8.416923957,8.416923957,8.416923957,8.416923957,5.602548376,5.602548376,5.602548376,5.602548376,8.054588078,8.201386438,8.201386438,-0.61650691,1.764125372,8.516623053,6.1851025459999995,6.1851025459999995,2.392229539,2.392229539,2.392229539,1.532616076,1.532616076,-1.5509173770000002,12.477457283,2.561489091,3.4589800850000003,2.622956622
스윗포테이토,2.4100464300000004,1.355494819,1.355494819,1.355494819,0.554938258,-0.27416273799999996,-0.27416273799999996,-2.6574277740000003,0.8693024,0.8693024,2.978199164,1.1683461839999998,3.528008971,3.528008971,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,1.260244799,3.8173558820000006,-1.6133281839999998,0.550716381,5.038307250000001,0.08630132000000001,1.896646606,1.896646606,1.896646606,3.2994576879999995,3.2994576879999995,3.2994576879999995,3.2994576879999995,0.6795808649999999,0.6795808649999999,0.6795808649999999,0.6795808649999999,1.698332922,3.263776799,3.263776799,-4.389799299,1.719590367,1.9160413980000002,1.468890448,1.468890448,0.9240186100000001,0.9240186100000001,0.9240186100000001,1.532616076,1.532616076,-2.6520154629999997,4.690939370999999,2.436082846,0.816310276,2.3116484880000003
단호박,2.4100464300000004,1.625957658,1.625957658,1.625957658,0.554938258,-0.27416273799999996,-0.27416273799999996,-2.6574277740000003,0.684062162,0.684062162,2.978199164,1.1683461839999998,3.528008971,3.528008971,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,1.260244799,4.087818721,-1.6133281839999998,0.550716381,5.038307250000001,0.08630132000000001,1.896646606,1.896646606,1.896646606,3.2994576879999995,3.2994576879999995,3.2994576879999995,3.2994576879999995,0.6795808649999999,0.6795808649999999,0.6795808649999999,0.6795808649999999,1.698332922,3.263776799,3.263776799,-3.146119576,1.719590367,1.9160413980000002,1.28365021,1.28365021,0.9240186100000001,0.9240186100000001,0.9240186100000001,1.532616076,1.532616076,-2.381552624,4.690939370999999,2.436082846,0.816310276,2.3116484880000003
리코타치즈,6.620017546,6.823583489,6.823583489,6.823583489,1.594638035,-1.604607888,-1.604607888,-3.939060882,2.402050436,2.402050436,7.325454187,4.248737355,6.225542675,6.225542675,5.587877653,5.903153046,5.903153046,5.903153046,7.906816086,7.906816086,7.906816086,7.906816086,7.906816086,7.906816086,5.140581213,9.481809842999999,0.141053557,1.9964422759999998,11.0313116,0.16052965000000008,4.828371104,4.828371104,4.828371104,6.195976238,6.195976238,6.195976238,6.195976238,1.315515359,1.315515359,1.315515359,1.315515359,1.9680440950000002,5.4568855979999995,5.4568855979999995,-0.701810583,3.233780521,7.472831529,1.184067751,1.184067751,1.902825896,1.902825896,1.902825896,1.532616076,1.532616076,1.8372659210000002,9.819104276000001,2.619203327,0.9853261609999999,7.706175055999999
두부,7.456429154,12.848889459999999,12.848889459999999,12.848889459999999,3.1058423019999997,-1.8971580080000001,-1.8971580080000001,-10.879950842000001,6.676888129,6.676888129,2.978199164,2.943394111,7.915786849,7.915786849,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,9.815934763,9.815934763,9.815934763,9.815934763,9.815934763,9.815934763,1.260244799,19.468227906,-0.9399035139999997,4.4659455249999995,16.344977344999997,-0.6904206529999999,9.751617975999999,9.751617975999999,9.751617975999999,10.256637914,10.256637914,10.256637914,10.256637914,3.2824254859999997,3.2824254859999997,3.2824254859999997,3.2824254859999997,2.799956179,11.954278043,11.954278043,-0.654773978,3.9019928659999996,8.495118391,3.851299186,3.851299186,4.839247754,4.839247754,4.839247754,1.532616076,1.532616076,0.513437802,9.607652959,4.278360952,7.782117447999999,2.596672517
목살,2.4100464300000004,3.6544289510000003,3.6544289510000003,3.6544289510000003,0.554938258,-0.27416273799999996,-0.27416273799999996,-2.6574277740000003,-0.24213902600000003,-0.24213902600000003,2.978199164,1.1683461839999998,3.528008971,3.528008971,1.7075412390000002,0.9665183749999999,0.9665183749999999,0.9665183749999999,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,3.183602587,1.260244799,6.116290014,-1.6133281839999998,0.550716381,5.038307250000001,0.08630132000000001,1.896646606,1.896646606,1.896646606,3.2994576879999995,3.2994576879999995,3.2994576879999995,3.2994576879999995,0.6795808649999999,0.6795808649999999,0.6795808649999999,0.6795808649999999,1.698332922,3.263776799,3.263776799,-0.594981684,1.719590367,1.9160413980000002,0.357449022,0.357449022,0.9240186100000001,0.9240186100000001,0.9240186100000001,1.532616076,1.532616076,-0.35308133099999994,4.690939370999999,2.436082846,0.816310276,2.3116484880000003
