,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
가지,2.63255942,3.43874053,3.43874053,1.719370265,0.848978662,-0.191257376,-0.191257376,-2.757356782,0.561552214,0.280776107,2.568649258,1.554152318,3.830514984,3.830514984,0.467640364,0.96957332,0.96957332,0.48478666,4.317061418,4.317061418,2.158530709,2.158530709,2.158530709,2.158530709,0.467640364,5.978004226,-1.380755998,1.231528698,5.370167548,-0.401603594,2.460016372,2.460016372,2.460016372,2.27801286,2.27801286,2.27801286,1.13900643,1.102038946,1.102038946,1.102038946,1.102038946,1.346977772,3.247464242,3.247464242,-0.538417508,1.266027284,1.19190801,0.465059518,0.465059518,0.321350829,0.321350829,0.321350829,0,0,-0.145739374,1.375448331,2.29170648,1.109466232,0.884688986
고수,2.963467396,2.375379926,2.375379926,1.187689963,0.24728082,-2.060476808,-2.060476808,-3.507861678,0.984617308,0.492308654,1.668556724,0.816298814,4.266452242,4.266452242,0.320702668,0.341430484,0.341430484,0.170715242,4.331909678,4.331909678,2.165954839,2.165954839,2.165954839,2.165954839,0.320702668,5.46449311,-0.576684554,0.720160934,4.58708725,0.029446586,2.994530882,2.994530882,2.994530882,1.340235826,1.340235826,1.340235826,0.670117913,2.419082062,2.419082062,2.419082062,2.419082062,0.620554146,3.749124466,3.749124466,-0.465076498,0.623416128,0.838087649,1.467994749,1.467994749,0.154872457,0.154872457,0.154872457,0,0,0.048040059,0.872793238,1.404618576,2.3636027,0.696837976
로카,2.17398771,3.485199852,3.485199852,1.742599926,0.348602464,-1.114805846,-1.114805846,-3.155246882,0.85046832,0.42523416,2.352236564,1.130551452,3.990641504,3.990641504,0.466329214,0.481329318,0.481329318,0.240664659,4.472984706,4.472984706,2.236492353,2.236492353,2.236492353,2.236492353,0.466329214,6.012577868,-0.833197436,1.015242008,4.579178596,0.217774132,2.354303306,2.354303306,2.354303306,2.23971547,2.23971547,2.23971547,1.119857735,1.406544164,1.406544164,1.406544164,1.406544164,0.874822014,3.26134217,3.26134217,-0.339164384,1.01538073,1.239640285,0.808940969,0.808940969,0.218330399,0.218330399,0.218330399,0,0,0.135986177,1.230414368,1.980151542,1.328332508,1.13310748
루꼴라,2.57149856,3.216176676,3.216176676,1.608088338,0.52644125,-0.578763504,-0.578763504,-2.608278026,0.508585534,0.254292767,2.447567692,1.216350734,3.45378627,3.45378627,0.541534598,0.785473526,0.785473526,0.392736763,4.106431512,4.106431512,2.053215756,2.053215756,2.053215756,2.053215756,0.541534598,4.896399826,-1.197175844,1.846612508,4.835177492,-0.25370833,2.877187342,2.877187342,2.877187342,2.784759978,2.784759978,2.784759978,1.392379989,1.506759322,1.506759322,1.506759322,1.506759322,1.125412078,2.348809148,2.348809148,-0.377698698,1.343783222,1.315572986,0.587826695,0.587826695,0.433159209,0.433159209,0.433159209,0,0,-0.112005684,1.442922129,2.266784396,1.132834132,1.35887657
배추,2.085760764,4.805454606,4.805454606,2.402727303,0.548213188,-0.443940712,-0.443940712,-3.497986768,-0.866432132,-0.433216066,3.009406666,0.910639424,4.368495526,4.368495526,0.431641174,0.573506364,0.573506364,0.286753182,4.119035986,4.119035986,2.059517993,2.059517993,2.059517993,2.059517993,0.431641174,6.78144922,-2.093150978,1.081200428,4.37362724,-0.189072658,2.127971284,2.127971284,2.127971284,2.085709344,2.085709344,2.085709344,1.042854672,0.998798194,0.998798194,0.998798194,0.998798194,1.18456484,2.841699442,2.841699442,-0.374936518,1.058045018,1.373878704,0.436448172,0.436448172,0.276453422,0.276453422,0.276453422,0,0,0.028804133,1.358474826,2.407788062,1.05839589,0.941473004
브로콜리,2.79070099,2.98141364,2.98141364,1.49070682,0.818297204,-0.477004816,-0.477004816,-2.669636576,1.03145127,0.515725635,2.124189374,1.470127398,3.261058064,3.261058064,0.442180072,0.74811562,0.74811562,0.37405781,4.316602672,4.316602672,2.158301336,2.158301336,2.158301336,2.158301336,0.442180072,5.723612996,-1.416434866,1.18663025,5.176586254,-0.515624188,2.568520518,2.568520518,2.568520518,2.436292672,2.436292672,2.436292672,1.218146336,1.031568294,1.031568294,1.031568294,1.031568294,1.589755118,2.857849874,2.857849874,-0.658452442,1.27176089,1.127989442,0.667273796,0.667273796,0.33207098,0.33207098,0.33207098,0,0,-0.314430455,1.691120367,2.799770812,1.15987786,0.89564376
비트,2.088987966,3.133250174,3.133250174,1.566625087,0.32193001,-1.189824544,-1.189824544,-3.074146282,1.287381792,0.643690896,2.172261004,1.641591812,4.364186698,4.364186698,0.72994406,0.444501596,0.444501596,0.222250798,4.67931925,4.67931925,2.339659625,2.339659625,2.339659625,2.339659625,0.72994406,5.339306548,-0.171905688,0.937563278,4.822405098,-0.008171432,2.170218926,2.170218926,2.170218926,2.062038712,2.062038712,2.062038712,1.031019356,1.380263464,1.380263464,1.380263464,1.380263464,0.807887172,3.690687898,3.690687898,-0.34149727,0.852403154,1.400919013,0.739937248,0.739937248,0.201625389,0.201625389,0.201625389,0,0,0.082937414,1.136272257,1.828645146,1.308035978,1.260417204
로메인,2.453577056,3.090689936,3.090689936,1.545344968,0.307723982,-1.39592342,-1.39592342,-3.19709439,0.49666228,0.24833114,2.076404138,0.926581886,3.98580625,3.98580625,0.536550082,0.424886766,0.424886766,0.212443383,4.577870568,4.577870568,2.288935284,2.288935284,2.288935284,2.288935284,0.536550082,6.1451755,-0.806890154,0.896190774,4.519507392,0.481195216,2.626926344,2.626926344,2.626926344,1.86858034,1.86858034,1.86858034,0.93429017,1.776126932,1.776126932,1.776126932,1.776126932,0.772236974,3.3420274,3.3420274,-0.65084943,0.91049143,1.065665986,0.890001151,0.890001151,0.192728126,0.192728126,0.192728126,0,0,0.127129009,1.086131184,1.747951254,1.70708668,1.139317532
셀러리,2.375311882,3.836889154,3.836889154,1.918444577,0.77354427,-0.302180182,-0.302180182,-3.367642114,0.289299466,0.144649733,2.922885196,0.594497592,3.580162066,3.580162066,0.570832226,0.500254998,0.500254998,0.250127499,3.985546716,3.985546716,1.992773358,1.992773358,1.992773358,1.992773358,0.570832226,6.456946036,-1.746974172,1.21717638,5.295646096,-0.097654124,2.477741652,2.477741652,2.477741652,2.514124828,2.514124828,2.514124828,1.257062414,1.127729262,1.127729262,1.127729262,1.127729262,1.209728708,3.358423028,3.358423028,-0.5063488,1.499926382,1.269448255,0.4639808,0.4639808,0.307922791,0.307922791,0.307922791,0,0,0.053611813,1.564879954,2.888416984,1.143598938,1.297214336
시금치,2.111954378,3.330929954,3.330929954,1.665464977,0.349267948,-0.868671044,-0.868671044,-2.91300729,1.265305404,0.632652702,2.356726992,1.416334052,4.215700546,4.215700546,0.862742382,0.482248176,0.482248176,0.241124088,4.567341764,4.567341764,2.283670882,2.283670882,2.283670882,2.283670882,0.862742382,5.847405976,-0.551163638,1.017180108,4.644438002,0.268646576,2.131691042,2.131691042,2.131691042,1.900988448,1.900988448,1.900988448,0.950494224,1.34304578,1.34304578,1.34304578,1.34304578,0.876492052,3.485008978,3.485008978,-0.697803386,0.85639594,1.303357372,0.842188081,0.842188081,0.218747193,0.218747193,0.218747193,0,0,0.055784197,1.232763233,1.983931658,1.264684818,1.369870374
