,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
가지,1.31627971,1.719370265,1.719370265,1.719370265,0.424489331,-0.095628688,-0.095628688,-1.378678391,0.280776107,0.280776107,1.284324629,0.777076159,1.915257492,1.915257492,0.233820182,0.48478666,0.48478666,0.48478666,2.158530709,2.158530709,2.158530709,2.158530709,2.158530709,2.158530709,0.233820182,2.989002113,-0.690377999,0.615764349,2.685083774,-0.200801797,1.230008186,1.230008186,1.230008186,1.13900643,1.13900643,1.13900643,1.13900643,0.551019473,0.551019473,0.551019473,0.551019473,0.673488886,1.623732121,1.623732121,-0.269208754,0.633013642,1.19190801,0.465059518,0.465059518,0.321350829,0.321350829,0.321350829,0,0,-0.145739374,1.375448331,1.14585324,0.554733116,0.442344493
고수,1.481733698,1.187689963,1.187689963,1.187689963,0.12364041,-1.030238404,-1.030238404,-1.753930839,0.492308654,0.492308654,0.834278362,0.408149407,2.133226121,2.133226121,0.160351334,0.170715242,0.170715242,0.170715242,2.165954839,2.165954839,2.165954839,2.165954839,2.165954839,2.165954839,0.160351334,2.732246555,-0.288342277,0.360080467,2.293543625,0.014723293,1.497265441,1.497265441,1.497265441,0.670117913,0.670117913,0.670117913,0.670117913,1.209541031,1.209541031,1.209541031,1.209541031,0.310277073,1.874562233,1.874562233,-0.232538249,0.311708064,0.838087649,1.467994749,1.467994749,0.154872457,0.154872457,0.154872457,0,0,0.048040059,0.872793238,0.702309288,1.18180135,0.348418988
로카,1.086993855,1.742599926,1.742599926,1.742599926,0.174301232,-0.557402923,-0.557402923,-1.577623441,0.42523416,0.42523416,1.176118282,0.565275726,1.995320752,1.995320752,0.233164607,0.240664659,0.240664659,0.240664659,2.236492353,2.236492353,2.236492353,2.236492353,2.236492353,2.236492353,0.233164607,3.006288934,-0.416598718,0.507621004,2.289589298,0.108887066,1.177151653,1.177151653,1.177151653,1.119857735,1.119857735,1.119857735,1.119857735,0.703272082,0.703272082,0.703272082,0.703272082,0.437411007,1.630671085,1.630671085,-0.169582192,0.507690365,1.239640285,0.808940969,0.808940969,0.218330399,0.218330399,0.218330399,0,0,0.135986177,1.230414368,0.990075771,0.664166254,0.56655374
루꼴라,1.28574928,1.608088338,1.608088338,1.608088338,0.263220625,-0.289381752,-0.289381752,-1.304139013,0.254292767,0.254292767,1.223783846,0.608175367,1.726893135,1.726893135,0.270767299,0.392736763,0.392736763,0.392736763,2.053215756,2.053215756,2.053215756,2.053215756,2.053215756,2.053215756,0.270767299,2.448199913,-0.598587922,0.923306254,2.417588746,-0.126854165,1.438593671,1.438593671,1.438593671,1.392379989,1.392379989,1.392379989,1.392379989,0.753379661,0.753379661,0.753379661,0.753379661,0.562706039,1.174404574,1.174404574,-0.188849349,0.671891611,1.315572986,0.587826695,0.587826695,0.433159209,0.433159209,0.433159209,0,0,-0.112005684,1.442922129,1.133392198,0.566417066,0.679438285
배추,1.042880382,2.402727303,2.402727303,2.402727303,0.274106594,-0.221970356,-0.221970356,-1.748993384,-0.433216066,-0.433216066,1.504703333,0.455319712,2.184247763,2.184247763,0.215820587,0.286753182,0.286753182,0.286753182,2.059517993,2.059517993,2.059517993,2.059517993,2.059517993,2.059517993,0.215820587,3.39072461,-1.046575489,0.540600214,2.18681362,-0.094536329,1.063985642,1.063985642,1.063985642,1.042854672,1.042854672,1.042854672,1.042854672,0.499399097,0.499399097,0.499399097,0.499399097,0.59228242,1.420849721,1.420849721,-0.187468259,0.529022509,1.373878704,0.436448172,0.436448172,0.276453422,0.276453422,0.276453422,0,0,0.028804133,1.358474826,1.203894031,0.529197945,0.470736502
브로콜리,1.395350495,1.49070682,1.49070682,1.49070682,0.409148602,-0.238502408,-0.238502408,-1.334818288,0.515725635,0.515725635,1.062094687,0.735063699,1.630529032,1.630529032,0.221090036,0.37405781,0.37405781,0.37405781,2.158301336,2.158301336,2.158301336,2.158301336,2.158301336,2.158301336,0.221090036,2.861806498,-0.708217433,0.593315125,2.588293127,-0.257812094,1.284260259,1.284260259,1.284260259,1.218146336,1.218146336,1.218146336,1.218146336,0.515784147,0.515784147,0.515784147,0.515784147,0.794877559,1.428924937,1.428924937,-0.329226221,0.635880445,1.127989442,0.667273796,0.667273796,0.33207098,0.33207098,0.33207098,0,0,-0.314430455,1.691120367,1.399885406,0.57993893,0.44782188
비트,1.044493983,1.566625087,1.566625087,1.566625087,0.160965005,-0.594912272,-0.594912272,-1.537073141,0.643690896,0.643690896,1.086130502,0.820795906,2.182093349,2.182093349,0.36497203,0.222250798,0.222250798,0.222250798,2.339659625,2.339659625,2.339659625,2.339659625,2.339659625,2.339659625,0.36497203,2.669653274,-0.085952844,0.468781639,2.411202549,-0.004085716,1.085109463,1.085109463,1.085109463,1.031019356,1.031019356,1.031019356,1.031019356,0.690131732,0.690131732,0.690131732,0.690131732,0.403943586,1.845343949,1.845343949,-0.170748635,0.426201577,1.400919013,0.739937248,0.739937248,0.201625389,0.201625389,0.201625389,0,0,0.082937414,1.136272257,0.914322573,0.654017989,0.630208602
로메인,1.226788528,1.545344968,1.545344968,1.545344968,0.153861991,-0.69796171,-0.69796171,-1.598547195,0.24833114,0.24833114,1.038202069,0.463290943,1.992903125,1.992903125,0.268275041,0.212443383,0.212443383,0.212443383,2.288935284,2.288935284,2.288935284,2.288935284,2.288935284,2.288935284,0.268275041,3.07258775,-0.403445077,0.448095387,2.259753696,0.240597608,1.313463172,1.313463172,1.313463172,0.93429017,0.93429017,0.93429017,0.93429017,0.888063466,0.888063466,0.888063466,0.888063466,0.386118487,1.6710137,1.6710137,-0.325424715,0.455245715,1.065665986,0.890001151,0.890001151,0.192728126,0.192728126,0.192728126,0,0,0.127129009,1.086131184,0.873975627,0.85354334,0.569658766
셀러리,1.187655941,1.918444577,1.918444577,1.918444577,0.386772135,-0.151090091,-0.151090091,-1.683821057,0.144649733,0.144649733,1.461442598,0.297248796,1.790081033,1.790081033,0.285416113,0.250127499,0.250127499,0.250127499,1.992773358,1.992773358,1.992773358,1.992773358,1.992773358,1.992773358,0.285416113,3.228473018,-0.873487086,0.60858819,2.647823048,-0.048827062,1.238870826,1.238870826,1.238870826,1.257062414,1.257062414,1.257062414,1.257062414,0.563864631,0.563864631,0.563864631,0.563864631,0.604864354,1.679211514,1.679211514,-0.2531744,0.749963191,1.269448255,0.4639808,0.4639808,0.307922791,0.307922791,0.307922791,0,0,0.053611813,1.564879954,1.444208492,0.571799469,0.648607168
시금치,1.055977189,1.665464977,1.665464977,1.665464977,0.174633974,-0.434335522,-0.434335522,-1.456503645,0.632652702,0.632652702,1.178363496,0.708167026,2.107850273,2.107850273,0.431371191,0.241124088,0.241124088,0.241124088,2.283670882,2.283670882,2.283670882,2.283670882,2.283670882,2.283670882,0.431371191,2.923702988,-0.275581819,0.508590054,2.322219001,0.134323288,1.065845521,1.065845521,1.065845521,0.950494224,0.950494224,0.950494224,0.950494224,0.67152289,0.67152289,0.67152289,0.67152289,0.438246026,1.742504489,1.742504489,-0.348901693,0.42819797,1.303357372,0.842188081,0.842188081,0.218747193,0.218747193,0.218747193,0,0,0.055784197,1.232763233,0.991965829,0.632342409,0.684935187
