,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
가지,9.74064355,14.1110974,14.1110974,14.1110974,4.496293592,-0.562363444,-0.562363444,-8.107591356,1.651159513,1.651159513,9.55272537,8.569750272,15.26305104,15.26305104,5.375025896,4.850883975,4.850883975,4.850883975,14.69366737,14.69366737,14.69366737,14.69366737,14.69366737,14.69366737,3.375025896,23.57741896,-4.059904565,3.621124221,23.79016697,-1.180854739,9.233306766,9.233306766,9.233306766,10.69815292,10.69815292,10.69815292,10.69815292,3.240379153,3.240379153,3.240379153,3.240379153,7.960584793,13.54867835,13.54867835,-1.583135402,5.722562101,11.00925114,2.734874612,2.734874612,3.889767199,3.889767199,3.889767199,6,6,-0.857049254,16.08859635,6.738416936,3.262217967,6.601294405
고수,14.50151026,14.02063885,14.02063885,14.02063885,3.043164408,-8.692206972,-8.692206972,-14.79806014,4.153648995,4.153648995,9.038875826,7.44359044,21.99820594,21.99820594,5.352897518,3.440338674,3.440338674,3.440338674,20.27434085,20.27434085,20.27434085,20.27434085,20.27434085,20.27434085,3.352897518,29.05219108,-2.432767737,3.038028801,27.35081803,0.124221645,14.63255287,14.63255287,14.63255287,9.653840485,9.653840485,9.653840485,9.653840485,10.20499813,10.20499813,10.20499813,10.20499813,6.617833434,19.81583724,19.81583724,-1.961944522,4.629906823,11.07101509,12.38559361,12.38559361,3.306671779,3.306671779,3.306671779,6,6,0.405317964,15.36382903,5.925441783,9.970956131,6.939639933
로카,8.505480684,14.42917594,14.42917594,14.42917594,3.043164408,-3.335965454,-3.335965454,-9.441818627,2.544956994,2.544956994,9.038875826,7.383082893,15.94166881,15.94166881,5.395452092,3.440338674,3.440338674,3.440338674,15.38504145,15.38504145,15.38504145,15.38504145,15.38504145,15.38504145,3.395452092,23.99214826,-2.493275284,3.038028801,21.702818,0.651671307,9.045060379,9.045060379,9.045060379,10.70216564,10.70216564,10.70216564,10.70216564,4.208968546,4.208968546,4.208968546,4.208968546,6.617833434,13.75930011,13.75930011,-1.014921723,5.038443916,11.41904464,4.841379578,4.841379578,3.306671779,3.306671779,3.306671779,6,6,0.813855057,15.36382903,5.925441783,3.974926552,7.3907316
루꼴라,11.30179411,15.6337663,15.6337663,15.6337663,3.904277998,-2.093541498,-2.093541498,-9.434835223,1.839689119,1.839689119,10.85350321,8.399864062,16.49326338,16.49326338,5.958874652,4.84126662,4.84126662,4.84126662,16.85405478,16.85405478,16.85405478,16.85405478,16.85405478,16.85405478,3.958874652,23.71158025,-4.330503386,6.679688505,25.49012278,-0.917730494,12.40755173,12.40755173,12.40755173,14.07321738,14.07321738,14.07321738,14.07321738,5.45034915,5.45034915,5.45034915,5.45034915,8.070914759,12.4962673,12.4962673,-1.366236632,6.860821256,13.51755467,4.25265095,4.25265095,5.133704095,5.133704095,5.133704095,6,6,-0.810308688,18.4388661,8.199561954,4.097762304,8.91541791
배추,8.835586591,19.7487386,19.7487386,19.7487386,3.796638799,-1.454910469,-1.454910469,-11.46382263,-2.839525971,-2.839525971,11.86261714,6.984404897,18.31670878,18.31670878,5.41460165,3.879531188,3.879531188,3.879531188,15.49916425,15.49916425,15.49916425,15.49916425,15.49916425,15.49916425,3.41460165,28.22459265,-6.859806265,3.543378165,22.33352675,-0.619640827,8.973921562,8.973921562,8.973921562,10.83541807,10.83541807,10.83541807,10.83541807,3.27332437,3.27332437,3.27332437,3.27332437,7.882130527,13.31299645,13.31299645,-1.228765581,5.467491792,13.0051237,2.860710896,2.860710896,3.812021143,3.812021143,3.812021143,6,6,0.188797438,16.90415858,7.890954741,3.468641698,7.085454643
브로콜리,11.24747952,13.87943949,13.87943949,13.87943949,4.711571989,-1.58063952,-1.58063952,-8.846311253,3.41789555,3.41789555,9.038875826,8.871526206,14.80609058,14.80609058,5.465241593,4.479012941,4.479012941,4.479012941,16.30382365,16.30382365,16.30382365,16.30382365,16.30382365,16.30382365,3.465241593,24.9662003,-4.693606541,3.932108445,25.1535308,-1.708611612,10.51124538,10.51124538,10.51124538,12.07308511,12.07308511,12.07308511,12.07308511,3.418283327,3.418283327,3.418283327,3.418283327,9.267933737,13.46998918,13.46998918,-2.181898204,6.214203826,11.47558359,4.422258628,4.422258628,4.200751423,4.200751423,4.200751423,6,6,-2.083841447,19.20765071,9.277533974,3.843459685,6.96787343
비트,8.769042424,14.15281261,14.15281261,14.15281261,3.043164408,-3.855442418,-3.855442418,-9.961295591,4.171561594,4.171561594,9.038875826,9.319324383,18.14147204,18.14147204,6.365270834,3.440338674,3.440338674,3.440338674,17.16261034,17.16261034,17.16261034,17.16261034,17.16261034,17.16261034,4.365270834,23.30119711,-0.557033794,3.038028801,23.6262579,-0.026478259,9.032258791,9.032258791,9.032258791,10.68171754,10.68171754,10.68171754,10.68171754,4.472530286,4.472530286,4.472530286,4.472530286,6.617833434,15.95910334,15.95910334,-1.106569091,4.762080588,13.0789228,4.795304428,4.795304428,3.306671779,3.306671779,3.306671779,6,6,0.537491729,15.36382903,5.925441783,4.238488292,8.084187014
로메인,10.31746764,14.47723913,14.47723913,14.47723913,3.043164408,-4.732090176,-4.732090176,-10.83794335,1.683653027,1.683653027,9.038875826,7.141052707,17.51162559,17.51162559,5.818870103,3.440338674,3.440338674,3.440338674,17.51868536,17.51868536,17.51868536,17.51868536,17.51868536,17.51868536,3.818870103,26.83174778,-2.73530547,3.038028801,23.32083796,1.631220679,10.90511053,10.90511053,10.90511053,10.33436659,10.33436659,10.33436659,10.33436659,6.020955507,6.020955507,6.020955507,6.020955507,6.617833434,15.32925689,15.32925689,-2.206337502,5.086507104,11.22507764,6.034092758,6.034092758,3.306671779,3.306671779,3.306671779,6,6,0.861918245,15.36382903,5.925441783,5.786913513,7.862212799
셀러리,8.839019254,15.04720563,15.04720563,15.04720563,4.227195595,-0.870039887,-0.870039887,-9.696145344,0.832953615,0.832953615,10.41559724,5.711682791,14.30803469,14.30803469,5.643545258,3.440338674,3.440338674,3.440338674,13.47522181,13.47522181,13.47522181,13.47522181,13.47522181,13.47522181,3.643545258,24.59089688,-5.029903688,3.504505137,23.24727168,-0.281166631,9.133935962,9.133935962,9.133935962,11.23869073,11.23869073,11.23869073,11.23869073,3.246968196,3.246968196,3.246968196,3.246968196,7.483061736,13.66960167,13.66960167,-1.457884,6.318601478,11.31001358,2.671795354,2.671795354,3.773148115,3.773148115,3.773148115,6,6,0.308719224,17.01123277,8.316356057,3.292660306,7.734951141
시금치,8.307809379,13.94854407,13.94854407,13.94854407,3.043164408,-2.594474297,-2.594474297,-8.70032747,3.77910876,3.77910876,9.038875826,8.230188545,16.59110316,16.59110316,6.576767066,3.440338674,3.440338674,3.440338674,15.64135585,15.64135585,15.64135585,15.64135585,15.64135585,15.64135585,4.576767066,23.46454498,-1.646169632,3.038028801,21.87162047,0.80237121,8.3667572,8.3667572,8.3667572,9.677713913,9.677713913,9.677713913,9.677713913,4.011297241,4.011297241,4.011297241,4.011297241,6.617833434,14.40873446,14.40873446,-2.084141012,4.557812042,11.78551841,5.030754387,5.030754387,3.306671779,3.306671779,3.306671779,6,6,0.333223183,15.36382903,5.925441783,3.777255247,8.0914147
