,qna_blood1,qna_blood2,qna_blood3,qna_familydisease4,qna_digest1,qna_digest2,qna_diet4,qna_digest3,qna_digest4,qna_familydisease1,qna_skin1,qna_skin2,qna_skin3,qna_immune2,qna_skin4,qna_eye1,qna_eye3,qna_etc2,qna_eye2,qna_stemina2,qna_workout3,qna_afterworkout4,qna_etc4,qna_etc1,qna_eye4,qna_brain1,qna_brain2,qna_brain3,qna_brain4,qna_stemina1,qna_stemina3,qna_sleep2,qna_sleep3,qna_bone1,qna_bone2,qna_bone3,qna_familydisease3,qna_immune1,qna_hair3,qna_stress2,qna_stress3,qna_immune3,qna_hair1,qna_hair2,qna_diet1,qna_diet2,qna_symptom1,qna_workout1,qna_workout2,qna_afterworkout1,qna_afterworkout2,qna_afterworkout3,qna_outdoor2,qna_outdoor3,qna_etc3,qna_familydisease2,qna_femaledisease1,qna_femaledisease3,qna_femaledisease2
가죽나물,16.238546417,20.056354191,20.056354191,20.056354191,5.680324779,-2.7394361759999994,-2.7394361759999994,-13.296593968,6.753745249,6.753745249,9.834495895,18.504704191000002,17.719902834,17.719902834,5.86014804,8.89658436,8.89658436,8.89658436,25.535487588,25.535487588,25.535487588,25.535487588,25.535487588,25.535487588,3.86014804,30.723118891000006,-3.8923065420000005,4.942807173,34.959756941,1.528112336,14.016384385999999,14.016384385999999,14.016384385999999,18.794099024,18.794099024,18.794099024,18.794099024,3.978352024,3.978352024,3.978352024,3.978352024,13.682240304,16.419820133,16.419820133,-3.141140651,8.360504709,16.017573975999998,6.7240348359999995,6.7240348359999995,5.211450151,5.211450151,5.211450151,6.0,6.0,-1.5075555619999998,23.618631394999998,9.728971238,5.335975393,8.54032797
가지,9.74064355,14.111097401,14.111097401,14.111097401,4.496293592,-0.5623634440000003,-0.5623634440000003,-8.107591356,1.6511595130000003,1.6511595130000003,9.552725370000001,8.569750272,15.263051038999999,15.263051038999999,5.375025896,4.850883975,4.850883975,4.850883975,14.693667373999999,14.693667373999999,14.693667373999999,14.693667373999999,14.693667373999999,14.693667373999999,3.375025896,23.577418962,-4.059904565,3.621124221,23.79016697,-1.180854739,9.233306766,9.233306766,9.233306766,10.698152915,10.698152915,10.698152915,10.698152915,3.240379153,3.240379153,3.240379153,3.240379153,7.960584793,13.548678354,13.548678354,-1.583135402,5.722562100999999,11.009251135,2.734874612,2.734874612,3.889767199,3.889767199,3.889767199,6.0,6.0,-0.8570492540000001,16.088596348,6.738416936,3.2622179669999998,6.601294405000001
갓,8.340754597,15.786960987,15.786960987,15.786960987,3.043164408,-3.587101606,-3.587101606,-9.692954779,2.999609813,2.999609813,9.038875826,7.141052707000001,15.534912537,15.534912537,5.856318128,3.440338674,3.440338674,3.440338674,16.449046739,16.449046739,16.449046739,16.449046739,16.449046739,16.449046739,3.856318128,26.240106543,-2.73530547,3.0380288010000003,22.653846770999998,1.70657063,10.238119339,10.238119339,10.238119339,12.475812925,12.475812925,12.475812925,12.475812925,4.0442424589999995,4.0442424589999995,4.0442424589999995,4.0442424589999995,6.617833434,13.352543837999999,13.352543837999999,-2.481279605,6.396228963,12.534799497,5.373336496,5.373336496,3.306671779,3.306671779,3.306671779,6.0,6.0,2.1716401039999997,15.363829033000002,5.925441783,3.810200465,9.209382683
"갓, 돌산갓",10.114955778000002,27.230323472,27.230323472,27.230323472,4.3886543929999995,-1.532964025,-1.532964025,-10.592243136999999,-1.33808045,-1.33808045,9.334857353,8.525640025000001,30.275836157000004,30.275836157000004,5.878020961,3.898765897,3.898765897,3.898765897,18.426761369999998,18.426761369999998,18.426761369999998,18.426761369999998,18.426761369999998,18.426761369999998,3.878020961,40.17413625900001,-3.803313761,3.543378165,25.382342036999997,-0.51686045,10.325162890999998,10.325162890999998,10.325162890999998,12.889355715,12.889355715,12.889355715,12.889355715,3.6554888930000002,3.6554888930000002,3.6554888930000002,3.6554888930000002,8.61200182,14.009042360999999,14.009042360999999,-1.540366631,7.297134462999999,12.238569851000001,4.334345459,4.334345459,3.812021143,3.812021143,3.812021143,6.0,6.0,-0.07673100500000007,21.123085419000002,11.404135005999999,3.9787466250000003,8.786501031
게걸무,7.879521552,13.972575659,13.972575659,13.972575659,3.043164408,-2.326133486,-2.326133486,-8.431986659,1.163085941,1.163085941,9.038875826,6.233439508,14.166066293,14.166066293,5.352897518,3.440338674,3.440338674,3.440338674,13.451615952000003,13.451615952000003,13.451615952000003,13.451615952000003,13.451615952000003,13.451615952000003,3.352897518,23.135638702000005,-3.642918669,3.0380288010000003,19.470615199,0.877721162,7.962500966,7.962500966,7.962500966,9.861692521999998,9.861692521999998,9.861692521999998,9.861692521999998,3.583009414,3.583009414,3.583009414,3.583009414,6.617833434,11.983697593999999,11.983697593999999,-4.405874324,4.581843635,9.812800970000001,3.9831927780000003,3.9831927780000003,3.306671779,3.306671779,3.306671779,6.0,6.0,0.357254776,15.363829033000002,5.925441783,3.34896742,6.891576745
"게걸무, 잎",10.976371994,14.741586659000003,14.741586659000003,14.741586659000003,3.043164408,-6.0947613910000005,-6.0947613910000005,-12.200614564000002,3.4694718690000004,3.4694718690000004,9.038875826,8.230188545,19.259665772,19.259665772,7.421049815,3.440338674,3.440338674,3.440338674,19.06629299,19.06629299,19.06629299,19.06629299,19.06629299,19.06629299,5.421049815,26.85080024,-1.6461696319999999,3.0380288010000003,25.333225678,0.727021258,11.828362408,11.828362408,11.828362408,11.302480984999999,11.302480984999999,11.302480984999999,11.302480984999999,6.679859856,6.679859856,6.679859856,6.679859856,6.617833434,17.077297073,17.077297073,-1.534256806,5.350854635,12.578561007,7.3896801110000006,7.3896801110000006,3.306671779,3.306671779,3.306671779,6.0,6.0,1.126265776,15.363829033000002,5.925441783,6.445817862,9.728740042
"겨자, 적겨자",14.807138423,19.494569262,19.494569262,19.494569262,4.442473992,-2.1883207579999997,-2.1883207579999997,-10.967454343,5.503235779000001,5.503235779000001,9.038875826,10.298658226,16.37133718,16.37133718,6.8486907939999995,4.56556913,4.56556913,4.56556913,19.242919512,19.242919512,19.242919512,19.242919512,19.242919512,19.242919512,4.8486907939999995,33.08544045600001,-3.833978095,5.0982992849999995,30.802446754,0.17875453200000013,14.990482293,14.990482293,14.990482293,15.094982586,15.094982586,15.094982586,15.094982586,4.172728807,4.172728807,4.172728807,4.172728807,9.748881122,16.348479499,16.348479499,-1.531201894,8.552533749,16.060003478,5.137999497,5.137999497,5.366942263,5.366942263,5.366942263,6.0,6.0,1.4254797860000004,23.334303904,12.203678314000001,5.007748154,10.958750551
"고려엉겅퀴(곤드레), 재래종, 잎",11.569808769000002,17.446131302,17.446131302,17.446131302,3.043164408,-2.31401287,-2.31401287,-13.326068831,3.0080312129999998,3.0080312129999998,11.870073210000001,5.339397332,15.550461404,15.550461404,6.8333711479999995,3.440338674,3.440338674,3.440338674,16.540043857,16.540043857,16.540043857,16.540043857,16.540043857,16.540043857,4.8333711479999995,30.900926602000002,-5.455583857,3.893235417,27.234237275999998,2.759961571,11.911156387,11.911156387,11.911156387,14.967422483999998,14.967422483999998,14.967422483999998,14.967422483999998,3.826804023,3.826804023,3.826804023,3.826804023,6.73990174,15.997946953,15.997946953,-1.256259791,7.309429525,15.166319682,5.132675293,5.132675293,4.1618783950000005,4.1618783950000005,4.1618783950000005,6.0,6.0,0.9804229379999998,18.966540872,11.714129595,4.624959186,11.099636265
고수(향채),14.501510263,14.020638847,14.020638847,14.020638847,3.043164408,-8.692206972000001,-8.692206972000001,-14.798060144999997,4.153648995,4.153648995,9.038875826,7.44359044,21.998205935999998,21.998205935999998,5.352897518,3.440338674,3.440338674,3.440338674,20.274340853,20.274340853,20.274340853,20.274340853,20.274340853,20.274340853,3.352897518,29.052191084000004,-2.432767737,3.0380288010000003,27.35081803,0.12422164499999999,14.632552865000001,14.632552865000001,14.632552865000001,9.653840485,9.653840485,9.653840485,9.653840485,10.204998125,10.204998125,10.204998125,10.204998125,6.617833434,19.815837236999997,19.815837236999997,-1.961944522,4.629906823,11.07101509,12.385593611000001,12.385593611000001,3.306671779,3.306671779,3.306671779,6.0,6.0,0.405317964,15.363829033000002,5.925441783,9.970956131000001,6.939639933
곰취,12.669682869999999,15.615035567000001,15.615035567000001,15.615035567000001,5.249767984,-0.346323175,-0.346323175,-9.965715324000001,3.7289858710000003,3.7289858710000003,9.038875826,9.019110003000002,16.225346455,16.225346455,6.9844398850000005,3.440338674,3.440338674,3.440338674,15.412510495000001,15.412510495000001,15.412510495000001,15.412510495000001,15.412510495000001,15.412510495000001,4.9844398850000005,22.387063010000002,-2.390470331,4.476330837,26.292270082,-0.7646144109999999,11.325103935,11.325103935,11.325103935,14.056566355000001,14.056566355000001,14.056566355000001,14.056566355000001,3.6818450670000002,3.6818450670000002,3.6818450670000002,3.6818450670000002,8.151055591,14.075604929,14.075604929,-2.01387803,7.90591632,14.329016624,4.654856679,4.654856679,4.744973815,4.744973815,4.744973815,6.0,6.0,-1.2309560519999998,20.169462274999997,9.905849039,4.414945787,9.640588221000002
